address,name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
"138, 6th C Main Road, 4th Block, Jayanagar, Bangalore",Cafe Terra,Yes,No,NEW,0,Jayanagar,Cafe,,"Cafe, Continental",700,Cafes,Jayanagar
"321, 36th A Cross, 7th Main, 5th Block, Jayanagar, Bangalore",La Grande Cafe,No,No,3.8/5,46,Jayanagar,Cafe,"Coffee, Hot Chocolate, Cappuccino, Ice Tea, Corn Balls",Cafe,400,Cafes,Jayanagar
"671,45th Cross, 8th Block, Near Metro Pillar EP 22, Jayanagar, Bangalore",Cross Road Cafe,Yes,No,3.9/5,91,Jayanagar,Cafe,"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali","Cafe, Fast Food, Chinese",300,Cafes,Jayanagar
"524, 10th Main, 4th Block, Jayanagar, Bangalore",4th Tea Block,No,No,4.0/5,62,Jayanagar,Cafe,"Rose Tea, Hibiscus Tea, Masala Chai, Ginger Tea",Cafe,150,Cafes,Jayanagar
"1478/1, 18th Main, 40th Cross, 4th T Block, Jayanagar, Bangalore",Tummy Fuel,Yes,No,4.2/5,450,Jayanagar,Cafe,"Sandwiches, Salads, Panipuri, Gol Gappe, Pizza Sandwich, Cheesy Pizza, Pancakes","Cafe, Beverages, Fast Food",400,Cafes,Jayanagar
"2, Old 36, 8th F Main, 3rd Block, Jayanagar, Bangalore",Grazers,Yes,Yes,3.9/5,295,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650,Cafes,Jayanagar
"Opposite Andhra Bank, Ashoka Pillar Main Road, 2nd Block, Jayanagar, Bangalore",Cuppa,No,No,3.2/5,59,Jayanagar,"Cafe, Casual Dining","Coffee, Sandwich","Cafe, Fast Food",550,Cafes,Jayanagar
"54/7, Old no 54, 30th Cross B, Main Road, Corp Layout, Jayanagar, Bangalore",Brews N Bites,Yes,No,2.9/5,62,Jayanagar,"Quick Bites, Cafe","Coffee, Cappuccino","Chinese, Fast Food, Cafe",650,Cafes,Jayanagar
"1339/5, 1st Floor, 41st Cross, 22nd Main, Jayanagar, Bangalore",Mug N Bean,Yes,No,3.9/5,247,Jayanagar,Cafe,"Maggi, Pasta, Burgers, Grilled Sandwich, Latte, French Fries","Cafe, Continental, Italian, Burger",400,,
"586/51, 10th Cross, 7th Block, Jayanagar, Bangalore (Opp: Nethradhama Eye Hospital)",Brew Bakes,No,No,3.4/5,13,Jayanagar,Cafe,,"Cafe, Continental, Italian",550,Cafes,Jayanagar
"63/2, 8th Main, 18th Cross, 3rd Block, Jayanagar, Bangalore",Java City,Yes,No,2.5/5,157,Jayanagar,Cafe,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza","Cafe, American, Pizza",450,Cafes,Jayanagar
"Brigade Homestead, Ashoka Pillar, Jayanagar, Bangalore",Cafe Coffee Day,Yes,No,2.9/5,33,Jayanagar,Cafe,,Cafe,650,Cafes,Jayanagar
"13-A, 32nd Cross, 7th Block, Jayanagar, Bangalore",Rustic Treats,No,No,3.3/5,4,Jayanagar,"Quick Bites, Cafe",,"Street Food, Cafe",400,Cafes,Jayanagar
"692, 12th Cross Road, Near Nethradhama, Jayanagar, Bangalore",People Tree Cafe,No,No,3.7/5,167,Jayanagar,Cafe,"Chocolate Shake, Nachos, Babycorn Manchurian, Cheese Maggi, French Fries, Tea, Oreo Shake","Cafe, Fast Food, Beverages",400,Cafes,Jayanagar
"5th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",Slate Cafe,Yes,No,4.1/5,53,JP Nagar,Cafe,"Pasta, Sandwiches, Pizza","Cafe, Sandwich, Burger",600,Cafes,Jayanagar
"783, Outer Ring Road, Nagarjun Enclave, 1st Phase, JP Nagar, Bangalore",Skyline Pizzeria,No,No,3.9/5,764,JP Nagar,"Cafe, Bakery","Pizza, Pasta, Mocktails, Pink Lemonade, Sandwiches, Mojito, Nachos","Cafe, Bakery, Italian",600,Cafes,Jayanagar
"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",Cafe Shuffle,Yes,Yes,4.2/5,152,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600,Cafes,Jayanagar
"1318, Near Bangalore Central, 2nd Phase, JP Nagar, Bangalore",D View Cafe,Yes,No,4.0/5,510,JP Nagar,"Cafe, Quick Bites","Chicken Lollipop, Dragon Rolls, Pasta Alfredo, Chicken Pakora, Burgers, Cappuccino, Chicken Wings","Cafe, Italian, Chinese, Beverages","1,000",Cafes,Jayanagar
"57, 15th Cross Road, Outer Ring Road, Phase 6, JP Nagar, Bangalore",Dialogues,No,No,4.0/5,129,JP Nagar,Cafe,"Mayo Sandwich, Pasta, Egg Sandwich, Coffee, Potato Wedges, Vegetable Noodles, Fries","Cafe, Continental",600,Cafes,Jayanagar
"1304, 1st Floor, 9th Cross, 20th Main, 2nd Phase, JP Nagar, Bangalore",Crafted Plate,Yes,Yes,4.2/5,239,JP Nagar,"Casual Dining, Cafe","Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad",600,Cafes,Jayanagar
"294, 4th Floor, 7th Main, 7th Cross, Mico Employees Griha Nirmana Sangha Layout, 2nd Stage, BTM, Bangalore",Ruh's Cafe,Yes,No,4.1/5,464,BTM,Cafe,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler","Cafe, American, Italian, Continental, Chinese",500,Cafes,Jayanagar
"Site 15, 15th Cross, 100 Feet Road, 4th Phase, JP Nagar, Bangalore",Onesta,Yes,Yes,4.4/5,4410,JP Nagar,"Casual Dining, Cafe","Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza","Pizza, Cafe, Italian",600,,
"24th Main, 2nd Cross, 2nd Phase, JP Nagar, Bangalore",Pancuzzi,Yes,No,4.2/5,170,JP Nagar,Cafe,"Waffles, Burgers, Masala Fries, Crunchy Veg Burger, Tiramisu, Chocolate Pancakes, Oreo Shake","Cafe, Beverages, Desserts",600,Cafes,Jayanagar
"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",Cafe Vivacity,Yes,No,3.8/5,90,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650,Cafes,Jayanagar
"Amoolya, 1st Floor, 24th Main, 6th Phase, JP Nagar, Bangalore",Crave Bit Cafe,No,No,NEW,0,JP Nagar,Cafe,,Cafe,600,Cafes,Jayanagar
"8, 15th Main, 5th Phase, JP Nagar, Bangalore",TAB - Take A Break,No,No,4.1/5,522,JP Nagar,Cafe,"Pizza, Salads, Pasta, Sandwiches, Veg Quiche, Coffee, Tea","Cafe, Continental, Italian",550,Cafes,Jayanagar
"3, Christ School Main Road, Bharathi Layout, SG Palya, BTM, Bangalore",Black Cup Cafe,Yes,No,3.6/5,19,BTM,Cafe,,"Cafe, Fast Food, Beverages",400,Cafes,Jayanagar
"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",Kirthi's Biryani,Yes,No,3.8/5,145,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Cafes,Jayanagar
"458, 2nd Main Road, Mico Layout, Stage 1, BTM, Bangalore",Bun Town,Yes,No,4.0/5,204,BTM,"Cafe, Bakery","Tea, Chocolate Muffin, Veg Burger, Coffee, Burgers, Brownie, Donut","Cafe, Bakery",500,Cafes,Jayanagar
"2/2, Pattalamma Gudi Street, Armugam Circle, Near South End Circle, Basavanagudi, Bangalore",Cafe Mondo,Yes,No,3.7/5,514,Basavanagudi,Cafe,"Pizza, Pasta Alfredo, Brownie, Garlic Bread, Sandwiches, Lemon Mojito, Mocha Fudge","Cafe, Italian, Beverages",600,,
"4, 1st Cross, Christ School Road, Bhavani Layout, Bannerghatta Road, Bangalore",Cafe Arabica,No,No,3.8/5,69,Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",700,Cafes,Jayanagar
"268, 6th Main, 2nd Stage, BTM, Bangalore",On The Nose,Yes,No,3.8/5,614,BTM,Cafe,"Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup","Cafe, Italian, Mexican, Chinese",600,Cafes,Jayanagar
"80, 2nd Main,1st Cross, 2nd Stage, BTM, Bangalore",Brewz Coffee,Yes,No,3.0/5,61,BTM,Cafe,"Coffee, Sandwiches, Cappuccino",Cafe,650,Cafes,Jayanagar
"10/3, Shamanna Garden, 22nd Main Rd, Phase 5, JP Nagar, Bangalore",Brew Point,Yes,No,3.6/5,10,JP Nagar,Cafe,,"Cafe, American, Burger, Sandwich, Fast Food",500,Cafes,Jayanagar
"28, Ground Floor, SG Palaya, Behind Chirst College, BTM, Bangalore",Bakers Town,Yes,No,3.6/5,41,BTM,Cafe,"Fries, Pasta, Chicken Burger, Sandwich, Burgers, Monster Burger","Cafe, Continental, Fast Food",600,Cafes,Jayanagar
"296, Ground Floor, 5th Phase, 100 ft Outer Ring Road, JP Nagar, Bangalore",The Cravery,Yes,No,2.6/5,18,JP Nagar,Cafe,,Cafe,500,Cafes,Jayanagar
"27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore",Coffee Tindi,Yes,No,3.8/5,75,Banashankari,"Cafe, Quick Bites",,"Cafe, South Indian",200,Cafes,Jayanagar
"18, 7th Main Road, NS Palya, Stage 2, BTM, Bangalore",Insta Cafe,Yes,No,2.9/5,7,BTM,Cafe,,"Cafe, Continental, Pizza, Italian, Beverages",400,Cafes,Jayanagar
"B/1, Beside Airtel Office, Ground Floor, KEB Colony, Bannerghatta Road, Bengaluru",Wellness Cafe,No,No,,0,Bannerghatta Road,Cafe,,"Cafe, Healthy Food",400,Cafes,Jayanagar
"204, 4th Cross, KSRTC Layout, 2nd Phase, JP Nagar, Bangalore",Cafe Potpourri,Yes,No,3.7/5,132,JP Nagar,Cafe,"Poha, Coffee, Pav Bhaji, Masala Chai, Sattu Paratha, Sandwich","Cafe, Sandwich, North Indian, Beverages, Desserts",400,Cafes,Jayanagar
"6, 3rd Floor, Above Bandhan Bank, Gurupanapalya, Bannerghatta Road, Bangalore",Cafe Talk,No,No,3.3/5,14,Bannerghatta Road,"Cafe, Casual Dining",,"Cafe, Continental, North Indian, Bakery, Desserts",700,Cafes,Jayanagar
"8, 1st Main Road, Brindavan Nagar, Tavarekere, Koramangala 1st Block, Bangalore",Smack Cafe,No,No,,0,Koramangala 1st Block,Cafe,,Cafe,400,Cafes,Jayanagar
"1309, 9th Cross, 1st Phase, JP Nagar, Bangalore","Malnad Blossom, Coffee & Cream",No,No,3.8/5,33,JP Nagar,Cafe,,Cafe,300,Cafes,Jayanagar
"18, 3rd Floor, 2nd Cross, NS Palya, Industrial Layout, BTM, Bangalore",Hearts Unlock Cafe,No,No,3.2/5,11,BTM,Cafe,,"Cafe, Healthy Food",500,Cafes,Jayanagar
"30, SG Palya Main Road, Madiwala, BTM, Bangalore",Cafe 221B,Yes,Yes,3.7/5,49,BTM,Cafe,,"Cafe, Beverages",300,Cafes,Jayanagar
"142, 8th Cross Road, Venkateshwara Layout, SG Palya, BTM, Bangalore",Cafe Hush,No,No,3.6/5,22,BTM,Cafe,,"Cafe, Fast Food",500,Cafes,Jayanagar
"Shop 422, 13th Cross Road, Lakkasandra Extension, Wilson Garden, Bengalore",Shivaay's Cafe,No,No,NEW,0,Wilson Garden,"Cafe, Dessert Parlor",,"Cafe, Desserts, Fast Food",400,Cafes,Jayanagar
"305, Anand NR Onyx, 15th Cross, 100 Feet Ring Road, 5th Phase Extension, JP Nagar, Bangalore",Woodee Pizza,Yes,No,2.7/5,85,JP Nagar,Cafe,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes","Cafe, Pizza, Fast Food, Beverages",500,Cafes,Jayanagar
"120, 1st Main Road, SG Palya, Near Christ University, BTM, Bangalore",The 90s Hash House,No,No,3.8/5,63,BTM,Cafe,"Burgers, Pasta, Hot Chocolate, Caramel Coffee",Cafe,500,Cafes,Jayanagar
"240, 7th cross, 1st Main, Mico Layout, Opposite Sate Bank of India, 2nd Stage, BTM Bangalore",PHEW (Play Hard Eat Wild),Yes,Yes,3.9/5,488,BTM,Cafe,"Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings","Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700,Cafes,Jayanagar
"1346, Marenahalli Road, KSRTC Layout, Near Bangalore Central Mall, 2nd Phase, JP Nagar, Bangalore",Cafe Mist,Yes,No,3.8/5,187,JP Nagar,Cafe,"Barbecue Chicken Burger, Coffee, Ice Tea, Peri Peri Chicken, Pasta, Maggi, Nachos","Cafe, American, Continental, Italian",500,Cafes,Jayanagar
"204, 4th Cross, KSRTC Layout, 2nd Phase, JP Nagar, Bangalore",Cafe Potpourri,Yes,No,3.7/5,132,JP Nagar,Cafe,"Poha, Coffee, Pav Bhaji, Masala Chai, Sattu Paratha, Sandwich","Cafe, Sandwich, North Indian, Beverages, Desserts",400,Delivery,Jayanagar
"G-3,1210,16th Main Road, Opposite IS Colony Park, 2nd Stage, BTM, Bangalore",Kullad Cafe,Yes,No,3.9/5,331,BTM,Cafe,"Tea, Paratha, Poha, Coffee, Chai, Sandwiches, Maggi","North Indian, Cafe, Fast Food, Beverages",200,Delivery,Jayanagar
"70, Jyoti Nivas College Road, Koramangala Industrial Layout, Koramangala 5th Block, Bangalore",99 Pancakes,Yes,No,4.5/5,339,Koramangala 5th Block,"Dessert Parlor, Cafe","Pan Cake, Waffles, Nutella Pancakes","Desserts, Cafe",300,,
"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",Smacznego,Yes,No,4.2/5,505,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550,Delivery,Jayanagar
"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Onesta,Yes,Yes,4.6/5,2604,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,Delivery,Jayanagar
"2, Old 36, 8th F Main, 3rd Block, Jayanagar, Bangalore",Grazers,Yes,Yes,3.9/5,295,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650,Delivery,Jayanagar
"1478/1, 18th Main, 40th Cross, 4th T Block, Jayanagar, Bangalore",Tummy Fuel,Yes,No,4.2/5,450,Jayanagar,Cafe,"Sandwiches, Salads, Panipuri, Gol Gappe, Pizza Sandwich, Cheesy Pizza, Pancakes","Cafe, Beverages, Fast Food",400,Delivery,Jayanagar
"63, 5th Block, Jyoti Nivas College Road, Koramangala, Bengaluru",WTF,Yes,No,4.1/5,93,Koramangala 5th Block,Cafe,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake","Cafe, Continental",600,Delivery,Jayanagar
"58, Ground Floor, 7th Block, Raheja Arcade, Koramangala 7th Block, Bangalore",Tata Cha,Yes,No,3.7/5,31,Koramangala 7th Block,Cafe,,"Cafe, Tea, North Indian",500,Delivery,Jayanagar
"75/2, 17th Main, Hosur Road, Koramangala 5th Block, Bangalore",Smally's Resto Cafe,Yes,Yes,4.2/5,1700,Koramangala 5th Block,Cafe,"Burgers, Pasta, Chocolate Mousse, Potato Wedges, Cup Cake, Cheesy Fries, Peri Peri Chicken","Cafe, Italian, Burger, American, Steak",650,,
"5th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",Slate Cafe,Yes,No,4.1/5,55,JP Nagar,Cafe,"Pasta, Sandwiches, Pizza","Cafe, Sandwich, Burger",600,Delivery,Jayanagar
"Elite Building Ground Floor, Industrial Layout, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Stoner,Yes,No,4.5/5,2608,Koramangala 5th Block,"Dessert Parlor, Cafe","Burgers, Spinach Pizza, Butter Chicken Pizza, Chicken Bbq Burger, Tiramisu, Ferrero Rocher, Brownie Shake","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500,,
"1, Nirmala Mansion, 4th Cross, 17th A Main, 60 Feet Road, Koramangala 5th Block, Bangalore",Nuts Over Salads Cafe,Yes,Yes,4.4/5,201,Koramangala 5th Block,Cafe,"Salad, Salads, Peri Peri Chicken, Broccoli Soup, Burgers, Steak, Brownie","Cafe, Salad",800,,
"20, Sai Nivas, 1st A Main Road, KHB Colony, Koramangala 5th Block, Bangalore",Roundup Cafe,Yes,Yes,4.2/5,488,Koramangala 5th Block,Cafe,"Mocktails, Salad, Coffee, Pizza, Meat Balls, Hot Chocolate, Pasta","Cafe, Continental, Beverages",800,,
"98/A, 17th B Main, Opposite China Pearl, Koramangala 5th Block, Bangalore",Fresh Pressery Cafe,Yes,No,4.1/5,137,Koramangala 5th Block,Cafe,"Salads, Chicken Sandwich, Brownie, Spaghetti, Arugula Salad, Cheesecake, Cheese Chilli Toast","Cafe, Healthy Food, Salad, Beverages, Desserts","1,200",Delivery,Jayanagar
"24th Main, 2nd Cross, 2nd Phase, JP Nagar, Bangalore",Pancuzzi,Yes,No,4.2/5,171,JP Nagar,Cafe,"Waffles, Burgers, Masala Fries, Crunchy Veg Burger, Tiramisu, Chocolate Pancakes, Oreo Shake","Cafe, Beverages, Desserts",600,Delivery,Jayanagar
"59, Ground Floor, Opposite Jyoti Niwas College, Koramangala 5th Block, Bangalore",Chai Galli,Yes,No,4.3/5,480,Koramangala 5th Block,Cafe,"Tea, Chai, Margherita Pizza, Sandwiches, Corn Sandwich, Paneer Parantha, Brownie","Cafe, Tea, Street Food",450,Delivery,Jayanagar
"64, 10th Main Road, 5th Block, Jayanagar, Bangalore",Go Native,Yes,Yes,4.3/5,1265,Jayanagar,"Casual Dining, Cafe","Mushroom Soup, Salads, Halwa, Thali, Salad, Millet Pizza, Misal Pav","Healthy Food, Cafe, Beverages",800,,
"583, 80 Feet Road, Opposite Bethany High School, Koramangala 8th Block, Banglore",Blue Tokai Coffee Roasters,Yes,No,NEW,0,Koramangala 8th Block,Cafe,"Coffee, Potato Wedges","Cafe, Coffee",400,Delivery,Jayanagar
"16/33, 11th Main, 4th Block, Geetha Colony, Jayanagar, Bangalore",Rooftop Cafe,Yes,No,4.1/5,799,Jayanagar,Cafe,"Pizza, Nachos, Rolls, Veggie Roll, Sandwiches, Burgers, Mango Shake","Cafe, Fast Food, Beverages",400,Delivery,Jayanagar
"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",San Churro Cafe,Yes,No,3.8/5,924,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pizza, Pink Sauce Pasta, Salsa","Cafe, Mexican, Italian",800,Delivery,Jayanagar
"166/A 2nd Floor, R.V Road, Above DTDC Office, V.V Puram, Near Minerva Circle, Basavanagudi, Bangalore",Steaming Mugs,Yes,No,4.0/5,241,Basavanagudi,Cafe,"Fries, Oreo Shake, Pasta Arrabiata",Cafe,700,Delivery,Jayanagar
"28, Ground Floor, SG Palaya, Behind Chirst College, BTM, Bangalore",Bakers Town,Yes,No,3.6/5,41,BTM,Cafe,"Fries, Pasta, Chicken Burger, Sandwich, Burgers, Monster Burger","Cafe, Continental, Fast Food",600,Delivery,Jayanagar
"458, 2nd Main Road, Mico Layout, Stage 1, BTM, Bangalore",Bun Town,Yes,No,4.0/5,204,BTM,"Cafe, Bakery","Tea, Chocolate Muffin, Veg Burger, Coffee, Burgers, Brownie, Donut","Cafe, Bakery",500,Delivery,Jayanagar
"1238, 23rd Cross, 30th Main, Athimabbe Road, 2nd Stage, Banashankari, Bangalore",Cafe Coffee Day,Yes,No,3.1/5,25,Banashankari,Cafe,,"Cafe, Fast Food",900,Delivery,Jayanagar
"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",Penthouse Cafe,Yes,No,4.0/5,328,Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700,Delivery,Jayanagar
"122B, 1st A Cross Road, near to McDonald?s,2 nd floor KHB colony, Koramangala 5th Block, Bangalore",YORK St.,Yes,No,4.4/5,944,Koramangala 5th Block,Cafe,"Beef Steak, Custard, Burgers, Beef Stroganoff, Salad, Sandwich, Sandwiches","Cafe, European, Continental",900,Delivery,Jayanagar
"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",Cafe Shuffle,Yes,Yes,4.2/5,153,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600,Delivery,Jayanagar
"137, 1st - A- Cross Road, Koramangala 5th Block, Bangalore",Cafe Graffiters,Yes,No,3.8/5,22,Koramangala 5th Block,Cafe,,"Cafe, Continental, Beverages",600,Delivery,Jayanagar
"671,45th Cross, 8th Block, Near Metro Pillar EP 22, Jayanagar, Bangalore",Cross Road Cafe,Yes,No,3.9/5,91,Jayanagar,Cafe,"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali","Cafe, Fast Food, Chinese",300,Delivery,Jayanagar
"2, 17th Main, 1st Stage, BTM, Bangalore",Biggies Burger 'n' More,Yes,No,3.8/5,208,BTM,"Cafe, Quick Bites","Burgers, Fries, Hot Dog, Chicken Hotdog, Cuban Mojito, Cheese Burger, Grilled Burger","Cafe, Burger, Fast Food",400,Delivery,Jayanagar
"21,National High School Road,VV Puram, Basavanagudi, Bangalore",Little Cafe,Yes,No,3.7/5,54,Basavanagudi,Cafe,"Pasta, Pizza, Burgers, Pancakes, Garlic Bread","Cafe, Beverages",600,Delivery,Jayanagar
"Sai Plaza, 7th Cross Road, 2nd Stage, BTM, Bangalore",Trippy Paradise,Yes,No,2.6/5,60,BTM,Cafe,,Cafe,900,,
"Shop 66/1, 4th Block, Near Maiys Hotel, 33rd Cross Road, Jayanagar, Bangalore",Cafe Ajfan,Yes,No,4.2/5,265,Jayanagar,Cafe,"Sandwiches, Pasta, Cobb Salad, Pizza, Burgers, Fries, Calzone","Cafe, Continental, Beverages",700,,
"1, KDP Building, 4th Floor, Near Forum Mall, Above NEXA showroom, Hosur Road, BTM, Bangalore",Mudpipe Cafe,Yes,Yes,4.5/5,1878,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900,Delivery,Jayanagar
"Shop 547, 32nd C Cross, 9th Main, 4th Block, Jayanagar, Bangalore",Enerjuvate Studio & Cafe,No,Yes,4.2/5,738,Jayanagar,Cafe,"Pizza, Vegetarian, Momo Platter, Momos, Nachos, Salsa, Salad","Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",800,,
"268, 6th Main, 2nd Stage, BTM, Bangalore",On The Nose,Yes,No,3.8/5,614,BTM,Cafe,"Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup","Cafe, Italian, Mexican, Chinese",600,Delivery,Jayanagar
"305, Anand NR Onyx, 15th Cross, 100 Feet Ring Road, 5th Phase Extension, JP Nagar, Bangalore",Woodee Pizza,Yes,No,2.7/5,85,JP Nagar,Cafe,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes","Cafe, Pizza, Fast Food, Beverages",500,Delivery,Jayanagar
"433/3/1, 4th Floor, 28th Cross, 10th Main, 4th Block, Jayanagar, Bangalore",Cafe Cosy,No,Yes,4.1/5,114,Jayanagar,Cafe,"Pasta, Pizza, Mocktails, Jalapeno Poppers","Cafe, Chinese, Continental, Fast Food",800,Delivery,Jayanagar
"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",Kirthi's Biryani,Yes,No,3.8/5,145,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Delivery,Jayanagar
"2/2, Pattalamma Gudi Street, Armugam Circle, Near South End Circle, Basavanagudi, Bangalore",Cafe Mondo,Yes,No,3.7/5,514,Basavanagudi,Cafe,"Pizza, Pasta Alfredo, Brownie, Garlic Bread, Sandwiches, Lemon Mojito, Mocha Fudge","Cafe, Italian, Beverages",600,Delivery,Jayanagar
"1304, 1st Floor, 9th Cross, 20th Main, 2nd Phase, JP Nagar, Bangalore",Crafted Plate,Yes,Yes,4.2/5,239,JP Nagar,"Casual Dining, Cafe","Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad",600,Delivery,Jayanagar
"294, 4th Floor, 7th Main, 7th Cross, Mico Employees Griha Nirmana Sangha Layout, 2nd Stage, BTM, Bangalore",Ruh's Cafe,Yes,No,4.1/5,464,BTM,Cafe,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler","Cafe, American, Italian, Continental, Chinese",500,,
"10/3, Shamanna Garden, 22nd Main Rd, Phase 5, JP Nagar, Bangalore",Brew Point,Yes,No,3.6/5,10,JP Nagar,Cafe,,"Cafe, American, Burger, Sandwich, Fast Food",500,Delivery,Jayanagar
"688, 3rd Cross, 29th Main Road, 2nd Stage, BTM, Bangalore",Hang10 Resto N Cafe,Yes,No,3.8/5,100,BTM,Cafe,"Burgers, Chicken Grill, Faluda, French Fries, Sandwich","Cafe, North Indian, Chinese",700,Delivery,Jayanagar
"100 Feet Road, Next to Karnataka Bank, Near BDA Complex, 3rd Block, Koramangala 3rd Block, Bangalore",Mr. Beans - Home Cafe,Yes,Yes,4.2/5,2710,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000",,
"1339/5, 1st Floor, 41st Cross, 22nd Main, Jayanagar, Bangalore",Mug N Bean,Yes,No,3.9/5,247,Jayanagar,Cafe,"Maggi, Pasta, Burgers, Grilled Sandwich, Latte, French Fries","Cafe, Continental, Italian, Burger",400,Delivery,Jayanagar
"473, KHB Colony, 17th C Main, Koramangala 5th Block, Bangalore",Cafe Medley,Yes,No,4.2/5,1061,Koramangala 5th Block,Cafe,"Coffee, Burgers, Pasta, Sandwiches, Mudcake, Chicken Burger, Pizza","Cafe, Continental, Burger",800,Delivery,Jayanagar
"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,Banashankari,Cafe,,"Cafe, Chinese, Continental, Italian",400,Delivery,Jayanagar
"3, Christ School Main Road, Bharathi Layout, SG Palya, BTM, Bangalore",Black Cup Cafe,Yes,No,3.7/5,29,BTM,Cafe,,"Cafe, Fast Food, Beverages",400,Delivery,Jayanagar
